1|0996368752|1|100000000|2990002,3|Activa
2|0996368752|1|11111111111111|332222222224,51886|Activa
POL-03|0996368752|1|10000000|1196002,3|Activa
POL-04|0996368752|1|100000|1198,3|Activa
POL-001|0986348920|1|10000|598.5750000|INACTIVA
POL-002|0986348920|1|15000|898.1500000|ACTIVA
POL-003|0986348920|1|1500000|89702.3000000|ACTIVA
POL-004|0986348920|1|2|0.6228400|ACTIVA
POL-005|0986348920|1|10000|598.5750000|ACTIVA
POL-001|0978632403|1|10000|598.575|INACTIVA
POL-002|0996368752|2|1500000|89702.3|ACTIVA
